,name,year,avg_fant_pt
148,Mark Brunell,2010,5.33999980986118
149,Matthew Stafford,2012,17.0987499207258
150,Matt Hasselbeck,2013,1.0
151,Ryan Mallett,2017,4.97000002861023
152,Terrelle Pryor,2013,13.0472727797248
153,Matt Moore,2017,10.335000038147
154,Vince Young,2009,11.4383333623409
155,Tom Brady,2016,21.3799998760223
156,Mark Sanchez,2015,6.56799993515015
157,Peyton Manning,2013,25.6237498521805
158,Aaron Rodgers,2013,18.8266669909159
159,Andy Dalton,2017,13.1687499880791
160,Kyle Allen,2018,13.2700002193451
161,Kerry Collins,2010,10.7020002126694
162,Philip Rivers,2012,13.0149998366833
163,Todd Collins,2009,1.91999998688698
164,Terrelle Pryor,2012,8.49999984105428
165,Drew Stanton,2009,1.8866666952769
166,Matthew Stafford,2017,16.9775000214577
167,Ryan Fitzpatrick,2018,20.4799996614456
168,Sean Mannion,2017,1.03999997079372
169,Case Keenum,2014,11.4500002861023
170,Max Hall,2010,0.383333285649617
171,Josh Freeman,2013,7.60999989509583
172,Tyrod Taylor,2017,14.8440000693003
173,Dak Prescott,2019,20.9862499833107
174,Josh Rosen,2018,7.9228571791734
175,Jared Goff,2019,15.4699999913573
176,Philip Rivers,2011,15.7849999666214
177,Brandon Weeden,2012,11.039999850591
178,Taysom Hill,2019,5.19999998249114
179,Tim Tebow,2010,10.9844444808033
180,Alex Smith,2017,19.6786667188009
181,Mitchell Trubisky,2019,13.3880001624425
182,Rex Grossman,2011,11.3184615832109
183,Charlie Batch,2011,1.53000004217029
184,Peyton Manning,2014,19.2925000041723
185,Seneca Wallace,2009,3.16153841981521
186,Brian Hoyer,2009,2.83600001335144
187,Drew Brees,2016,20.7700000107288
188,Jason Campbell,2009,13.6450000554323
189,Matt Cassel,2009,10.7906666994095
190,Andy Dalton,2016,16.289999961853
191,Matt Moore,2016,10.9480001211166
192,Case Keenum,2019,10.3480000637472
193,Ryan Tannehill,2012,11.1787500083447
194,Ryan Fitzpatrick,2010,15.6076923883878
195,Tom Brady,2013,15.4699999988079
196,Aaron Rodgers,2009,21.0599998831749
197,Eli Manning,2019,13.5950000286102
198,Nathan Peterman,2018,3.21000008285046
199,Tony Romo,2009,17.1137501001358
200,Jimmy Garoppolo,2014,2.02999999374151
201,Josh McCown,2011,8.4533330599467
202,Eli Manning,2013,10.6449998468161
203,Curtis Painter,2011,8.03777767221133
204,Tom Brady,2018,17.5187500417233
205,Ryan Tannehill,2014,17.4062499403954
206,Matt Leinart,2012,1.29999995231628
207,Chad Henne,2009,10.3085713641984
208,Caleb Hanie,2011,4.71999996900558
209,Baker Mayfield,2019,14.1987498998642
210,Charlie Frye,2009,7.77999981244405
211,Matt Cassel,2015,6.48399999141693
212,Kellen Clemens,2013,8.33199994564056
213,Matt Hasselbeck,2014,4.23499989137053
214,Josh McCown,2014,11.5400001189925
215,Billy Volek,2009,2.58499998599291
216,Matt Ryan,2015,14.4962500631809
217,Mark Sanchez,2012,7.87466669231653
218,Matt Ryan,2012,19.0537499338388
219,Chad Henne,2010,10.6159999410311
220,Nick Mullens,2018,15.1850001215935
221,Joe Webb,2010,7.41599996089935
222,Devlin Hodges,2019,6.41499991714954
223,Jameis Winston,2018,17.798181923953
224,Luke McCown,2015,1.42499995231628
225,Josh McCown,2013,16.7574999928474
226,Brodie Croyle,2009,5.73333330700795
227,Chase Daniel,2012,0.131249994039536
228,Ben Roethlisberger,2009,17.821333471934
229,Teddy Bridgewater,2015,12.4149998128414
230,Kirk Cousins,2012,10.946666876475
231,EJ Manuel,2016,0.777142862124102
232,Derek Anderson,2010,7.25833332414428
233,Dak Prescott,2016,17.9300000071526
234,Christian Ponder,2011,10.7290910482407
235,Luke McCown,2011,1.03500008583069
236,Case Keenum,2018,13.4312498867512
237,Case Keenum,2015,7.26999994119008
238,Charlie Whitehurst,2014,12.4342857088361
239,Matt Simms,2013,3.31333331267039
240,Sam Bradford,2011,9.1159999370575
241,Matt Ryan,2011,17.0924999713898
242,Trevor Siemian,2017,11.4636362411759
243,Jameis Winston,2015,17.0612499117851
244,Deshaun Watson,2017,23.8371428762163
245,Jameis Winston,2017,15.3584614717043
246,Cam Newton,2013,18.6037500202656
247,Thaddeus Lewis,2013,9.81333335240682
248,Brett Favre,2010,7.7815385048206
249,Andrew Luck,2014,21.9837500080466
250,Geno Smith,2014,10.7714286446571
251,Bruce Gradkowski,2012,0.800000031789144
252,Kevin Kolb,2012,14.1266665458679
253,T.J. Yates,2011,7.27666682004929
254,Jimmy Garoppolo,2019,15.2074998617172
255,Jimmy Clausen,2015,6.63199996948242
256,Blake Bortles,2014,11.8728570597512
257,Mike Glennon,2019,2.12000000476837
258,Cam Newton,2019,8.33999991416931
259,Nick Foles,2018,15.0440000534058
260,Robert Griffin,2012,21.166666730245
261,Kyle Boller,2010,0.160000005364418
262,Jake Locker,2014,9.1314285993576
263,Jake Locker,2012,12.0127273906361
264,Josh Freeman,2010,16.1525000631809
265,Derek Carr,2018,13.3600002154708
266,Derek Anderson,2014,8.40666663646698
267,Ryan Lindley,2012,1.82571429439953
268,Richard Bartel,2011,3.1700000166893
269,Bryce Petty,2016,5.07666679223378
270,Paxton Lynch,2017,7.40000003576279
271,A.J. McCarron,2015,7.89428583745446
272,Matt Ryan,2017,14.2562501132488
273,Tony Romo,2012,17.307500064373
274,Aaron Rodgers,2010,20.2986665566762
275,Cam Newton,2017,18.7175001204014
276,Aaron Rodgers,2014,22.0087496936321
277,Matt Barkley,2019,2.98000001907349
278,Carson Wentz,2019,16.9912500977516
279,Derek Anderson,2016,2.90400001853704
280,Drew Brees,2014,18.9362500905991
281,Alex Smith,2015,16.7025001347065
282,Cody Kessler,2017,0.980000004172325
283,EJ Manuel,2015,5.54857123536723
284,Chad Henne,2012,11.3160000920296
285,Josh Johnson,2013,1.00000002980232
286,John Skelton,2011,12.9150001108646
287,Drew Brees,2011,24.227500140667
288,Geno Smith,2016,3.96999999880791
289,Philip Rivers,2015,17.5300001502037
290,Alex Smith,2011,13.103749871254
291,Tyler Palko,2011,4.22333333889643
292,Russell Wilson,2014,20.4750000834465
293,Andrew Luck,2018,20.1825000047684
294,Kevin Kolb,2010,8.91142849730594
295,Bruce Gradkowski,2011,3.2299998998642
296,Brian Hoyer,2013,13.3999994595846
297,EJ Manuel,2017,7.04999983310699
298,Tyler Thigpen,2010,5.73999998271465
299,Dennis Dixon,2010,4.6800000667572
300,Derek Carr,2014,11.999999910593
301,T.J. Yates,2015,5.69999993592501
302,Cam Newton,2015,24.3174999952316
303,Josh Freeman,2012,15.40625
304,Chad Henne,2014,10.0600002209345
305,Nick Foles,2019,8.93500006198883
306,Dwayne Haskins,2019,8.30000007152557
307,Jason Campbell,2013,12.8111110246844
308,Philip Rivers,2013,17.963750243187
309,Chad Henne,2013,10.7560000101725
310,Geno Smith,2013,12.1087499931455
311,J.P. Losman,2011,1.25
312,Carson Palmer,2014,17.2566668192546
313,Michael Vick,2010,25.6933330098788
314,Russell Wilson,2015,21.0162501335144
315,Derek Anderson,2009,4.28999987244606
316,Chris Redman,2009,6.94000005722046
317,Logan Thomas,2014,3.61999988555908
318,Andy Dalton,2012,15.6724999845028
319,Drew Stanton,2010,9.4166665499409
320,Jason Campbell,2012,2.90000004569689
321,Michael Vick,2012,15.1680001735687
322,Andrew Luck,2012,17.2787500321865
323,Mike Glennon,2018,5.47999978065491
324,Joe Flacco,2010,14.4549999833107
325,C.J. Beathard,2017,12.6857144492013
326,Ben Roethlisberger,2010,17.4666667779287
327,Mike Glennon,2017,8.4300000667572
328,Colin Kaepernick,2012,13.3892309224376
329,Nick Foles,2013,19.6723078214205
330,Alex Smith,2009,13.1363635930148
331,DeShone Kizer,2017,11.7106666843096
332,Derek Carr,2017,13.4960000991821
333,Ben Roethlisberger,2015,17.6766667763392
334,Mark Sanchez,2011,15.2037500441074
335,Matthew Stafford,2018,13.2612499892712
336,Eli Manning,2015,17.9612501263618
337,Christian Ponder,2014,6.24000005796552
338,Charlie Whitehurst,2011,4.40666682521502
339,Drew Brees,2013,22.355000346899
340,Brock Osweiler,2015,12.97555536694
341,Matt Moore,2019,7.04333324357867
342,Blake Bortles,2015,19.6324999630451
343,Philip Rivers,2016,16.1837500631809
344,Austin Davis,2014,10.7639998912811
345,C.J. Beathard,2018,12.4966665108999
346,Blake Bortles,2016,16.6437498629093
347,Jacoby Brissett,2016,9.43333339691162
348,Christian Ponder,2012,11.9499998912215
349,Aaron Rodgers,2017,18.5142858709608
350,Matt Flynn,2010,3.70285715162754
351,Jay Cutler,2012,12.3080000559489
352,Sam Darnold,2019,14.0892309775719
353,Matt Cassel,2013,11.9977779918247
354,Ryan Finley,2019,8.21999994913737
355,Matt Schaub,2010,15.2249999493361
356,Matthew Stafford,2015,18.1112498342991
357,Eli Manning,2011,17.5512499511242
358,Drew Brees,2019,20.4327275996858
359,Matt Ryan,2016,21.4787501692772
360,Vince Young,2011,5.79142853191921
361,Ryan Lindley,2014,7.49333341916402
362,Russell Wilson,2012,17.2262500971556
363,Michael Vick,2013,14.4285715115922
364,Deshaun Watson,2018,20.7312498390675
365,T.J. Yates,2012,0.854999929666519
366,Russell Wilson,2013,16.8862498998642
367,Vince Young,2010,9.85555561383565
368,Lamar Jackson,2019,27.7119997024536
369,Matt Hasselbeck,2010,10.5742857285908
370,Jay Cutler,2010,13.8773331960042
371,Brian Hoyer,2010,1.21599996387959
372,EJ Manuel,2014,11.7440000534058
373,Mark Brunell,2009,0.0549999959766865
374,Mason Rudolph,2019,10.8800001859665
375,Ryan Fitzpatrick,2013,15.1509089903398
376,Tom Brady,2019,16.3549999147654
377,Ben Roethlisberger,2016,17.5828570638384
378,Blaine Gabbert,2013,4.14666676521301
379,Eli Manning,2009,14.4587499573827
380,Kyler Murray,2019,17.4550001621246
381,Matt Barkley,2016,10.1199997663498
382,Russell Wilson,2019,20.4125001430511
383,Alex Smith,2012,12.2679999388754
384,Matthew Stafford,2013,17.1812499165535
385,Kevin Hogan,2017,8.4449999332428
386,Robert Griffin,2014,9.70666677421994
387,Brandon Weeden,2014,4.00399999991059
388,David Fales,2017,9.69999980926514
389,Landry Jones,2016,4.23999996110797
390,Brian Hoyer,2014,11.2100001062666
391,Eli Manning,2010,14.6924999952316
392,Peyton Manning,2010,17.862499922514
393,Seneca Wallace,2010,5.19500010181218
394,Matthew Stafford,2014,15.5987499952316
395,Matt Moore,2012,2.2350000385195
396,Taylor Heinicke,2018,2.31666671236356
397,Brandon Weeden,2015,11.0700001716614
398,Tyler Palko,2010,0.94999997317791
399,Josh McCown,2016,10.0199998378754
400,Shaun Hill,2016,3.39333325127761
401,Brady Quinn,2012,4.42400000989437
402,Robert Griffin,2019,2.28571429422923
403,Kirk Cousins,2017,17.3512499630451
404,Jacoby Brissett,2019,14.3119997819265
405,Peyton Manning,2009,17.4187500029802
406,Teddy Bridgewater,2018,1.44400001019239
407,Brian Hoyer,2015,15.1490906368602
408,Jake Locker,2013,14.2485714980534
409,Josh Johnson,2018,11.3999996185303
410,Kyle Boller,2009,5.65142857176917
411,Cody Kessler,2018,7.73200006484985
412,Jacoby Brissett,2017,12.869999974966
413,Drew Lock,2019,13.6
414,Brett Hundley,2017,11.0400000485507
415,Johnny Manziel,2014,2.37999994754791
416,Colt McCoy,2018,9.06000010172526
417,Josh McCown,2018,5.18999999761581
418,Mark Sanchez,2014,15.4911110136244
419,Michael Vick,2014,4.34600006937981
420,Scott Tolzien,2013,11.3933334350586
421,Matt Flynn,2012,0.739999989668528
422,Philip Rivers,2018,17.1887500137091
423,Derek Carr,2015,16.8300000876188
424,Drew Brees,2010,16.825000166893
425,Matt Moore,2011,11.7215385070214
426,Mike Glennon,2016,3.5
427,Jake Delhomme,2009,6.96363628994335
428,Dak Prescott,2017,16.2912500202656
429,Matt McGloin,2015,4.84000015258789
430,Matt Flynn,2013,10.3114285075239
431,Joe Flacco,2009,12.8824999928474
432,Jimmy Clausen,2010,4.46307688034498
433,Caleb Hanie,2010,1.05000004172325
434,Daniel Jones,2019,16.2292307844529
435,Blaine Gabbert,2016,12.1166664759318
436,Chris Redman,2011,0.98400000333786
437,Bryce Petty,2017,6.3150001168251
438,Andrew Luck,2016,20.2466664632161
439,Tyrod Taylor,2013,1.69333330790202
440,Russell Wilson,2018,18.5262498557568
441,Case Keenum,2017,15.7253334999084
442,Bruce Gradkowski,2010,8.40999993681908
443,Donovan McNabb,2009,16.444285767419
444,Deshaun Watson,2019,21.198666826884
445,Landry Jones,2017,2.85333334157864
446,Josh Freeman,2011,13.4053335030874
447,Tyrod Taylor,2016,17.8079999287923
448,Ben Roethlisberger,2017,17.1159999847412
449,Matt Schaub,2013,10.4800000846386
450,Joe Flacco,2019,10.3600000739098
451,Brian Hoyer,2016,13.266666730245
452,Nick Foles,2012,12.3085715430123
453,John Skelton,2010,6.67599997520447
454,Kyle Allen,2019,13.6523076250003
455,Jared Goff,2018,19.0199997834861
456,John Skelton,2012,4.53999982987131
457,Matt Schaub,2011,15.8060001373291
458,Brady Quinn,2009,8.31599990688264
459,Jeff Driskel,2018,9.2355555428399
460,Kevin Kolb,2009,8.70800024271011
461,Matt McGloin,2013,11.2257142066956
462,Carson Palmer,2010,14.1125000417233
463,Cam Newton,2011,22.8337497711182
464,Tom Brady,2012,21.2674999833107
465,Johnny Manziel,2015,9.49999992251396
466,Drew Brees,2017,16.4099999666214
467,Kyle Orton,2009,13.4487500935793
468,Michael Vick,2015,6.14800015687942
469,Josh Allen,2018,17.1716665824254
470,Matthew Stafford,2016,17.3612500727177
471,David Blough,2019,10.8719999313354
472,Josh Johnson,2010,0.758181827312166
473,Alex Smith,2014,14.6666665712992
474,Robert Griffin,2016,13.2879999160767
475,Sam Bradford,2015,13.9214287144797
476,Sam Bradford,2010,11.9237500727177
477,Blaine Gabbert,2012,9.00800006687641
478,Joe Flacco,2017,11.4399999678135
479,Matt Ryan,2010,15.5249997377396
480,Matt Moore,2010,5.46333352724711
481,Matt Leinart,2009,1.3500000089407
482,Aaron Rodgers,2019,17.1487499475479
483,Andy Dalton,2019,15.4353845669673
484,Andy Dalton,2013,18.0012501180172
485,Geno Smith,2017,4.83999986574054
486,Ryan Fitzpatrick,2011,13.9237500727177
487,Matt Moore,2009,9.97428592933076
488,Tony Romo,2010,16.5166664918264
489,Drew Brees,2009,19.4946667671204
490,Aaron Rodgers,2011,26.4946665445964
491,Kurt Warner,2009,14.3413333177567
492,Joe Flacco,2014,16.4025000631809
493,Drew Stanton,2014,10.3044445249769
494,Teddy Bridgewater,2019,10.0511112991307
495,Matthew Stafford,2019,20.8200000524521
496,Tom Brady,2015,21.4812502264977
497,Josh Rosen,2019,2.99666666984558
498,Brian Hoyer,2017,5.80727282640609
499,Blaine Gabbert,2017,11.9279999732971
500,Philip Rivers,2019,14.5937499701977
501,Derek Carr,2019,15.2725000679493
502,Tarvaris Jackson,2010,7.98000001907349
503,Colt McCoy,2012,2.88666655123234
504,Matt Hasselbeck,2009,11.5042856548514
505,Jay Cutler,2017,11.274285800755
506,Derek Carr,2016,17.231999874115
507,Blaine Gabbert,2011,7.89066662788391
508,Tyrod Taylor,2015,19.2000000136239
509,Mark Sanchez,2009,8.55733332931995
510,Chad Pennington,2009,4.40666658679644
511,Andy Dalton,2015,18.7846154708129
512,Nate Sudfeld,2018,2.33999991416931
513,Jay Cutler,2016,9.35199999809265
514,Brian Hoyer,2012,6.90000021457672
515,Alex Smith,2016,14.6520000934601
516,Matt Cassel,2012,8.70444454087151
517,Nick Foles,2014,14.9150002002716
518,Jameis Winston,2019,18.8350001275539
519,Eli Manning,2012,14.5575001388788
520,Ryan Mallett,2015,8.61750018596649
521,Matt Ryan,2014,17.6412500143051
522,Philip Rivers,2009,16.8225000500679
523,Chase Daniel,2010,0.172307693041288
524,Troy Smith,2010,12.8566670417786
525,Brock Osweiler,2014,1.52000001631677
526,Nick Foles,2017,4.82571427098342
527,Sam Bradford,2012,13.9049999117851
528,Carson Palmer,2015,19.3275001645088
529,Ryan Fitzpatrick,2019,15.9639997641246
530,Cam Newton,2014,17.6414286749704
531,Greg McElroy,2012,5.77999997138977
532,Tom Savage,2017,6.33500003814697
533,Jake Locker,2011,9.85599984526634
534,Jason Campbell,2010,12.1292305497023
535,Tarvaris Jackson,2011,10.6960000514984
536,Carson Palmer,2012,14.688000090917
537,Aaron Rodgers,2015,18.3274999856949
538,Dan Orlovsky,2011,7.31750009953976
539,Case Keenum,2016,11.1140002250671
540,Tyler Thigpen,2009,1.81000003963709
541,Andrew Luck,2015,18.4057141712734
542,Matthew Stafford,2010,16.166666785876
543,Christian Ponder,2013,11.8911110957464
